1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
33 0 6 0.0335417 14.1895 0.910898 0 70.2463 0 0.858722 0.000543566 57.632 0.0328681 0.0404281 12.9251 1.26431 
34 0 6 0.0473316 22.5497 0.920377 0 68.8576 0 0.856445 0.000447608 70.0256 0.0485383 0.033383 20.7542 1.79548 
35 0 6 0.0344912 24.9698 0.91373 0 48.6524 0 0.854904 0.000482903 39.9503 0.033857 0.041209 22.8157 2.15416 
36 0 6 0.0277197 17.0124 0.919568 0 63.2197 0 0.544791 0.000493202 51.0294 0.0266823 0.0395798 15.6441 1.36834 
37 0 7 0.0312228 22.9357 0.769966 0 83.8999 0 0.559424 0.000362917 116.853 0.0284516 0.0404987 17.6597 5.27598 
38 0 9 0.0348661 28.6212 0.755438 0.00825655 88.5261 0 0.514388 0.00176884 71.1431 0.0328307 0.0411533 21.6216 6.99967 
39 0 10 0.0261844 35.7791 0.635946 0 112.601 0 0.505931 0.000265982 200.565 0.0241883 0.0296713 22.7536 13.0255 
40 0 10 0.0364303 41.1441 0.665533 0 97.3195 0 0.51311 0.000301406 124.782 0.0358327 0.0376194 27.3828 13.7614 
41 0 10 0.0379105 44.8984 0.669498 0.00372345 110.933 0 0.596386 0.00054337 221.252 0.0387374 0.0362354 30.0594 14.839 
42 0 10 0.0253702 57.073 0.692913 0.00312134 120.462 0 0.4768 0.00805179 159.79 0.0223323 0.032225 39.5466 17.5263 
43 0 10 0.0324004 69.4671 0.76432 0 165.747 0 0.572425 0.000188668 319.562 0.0347386 0.0248178 53.095 16.372 
44 0 10 0.0273639 70.1543 0.756848 0.00545215 166.681 0 0.530227 0.00168551 320.605 0.0287943 0.0229114 53.0962 17.0582 
45 0 10 0.0205798 90.3456 0.738072 0.0137646 149.714 0 0.623243 0.0216857 262.003 0.019316 0.0241408 66.6816 23.664 
46 0 10 0.0200041 97.1518 0.790606 0.00533927 136.505 0 0.567718 0.00475794 227.834 0.0199338 0.0202696 76.8088 20.343 
47 0 10 0.0308769 102.069 0.695286 0.00553592 131.584 0 0.560565 0.00517619 257.072 0.0312521 0.0300206 70.9674 31.102 
48 0 10 0.0382839 126.249 0.655438 0.0269332 83.1846 0 0.697749 0.00356383 148.251 0.0347881 0.0449337 82.7484 43.5007 
49 5 10 0.0302935 8.83747 0.955919 0 50.4201 18.0839 0.959078 0.000105546 41.0803 0.0307777 0.0197949 8.44791 0.389564 
50 0 5 0.025311 6.89343 1 0 46.8191 0 0.921658 9.40101e-05 38.2362 0.025311 -nan 6.89343 0 
51 0 5 0.0345531 14.9609 0.834758 0 45.7822 0 0.86966 8.32615e-05 42.2121 0.0357827 0.0283415 12.4887 2.47217 
52 0 5 0.0423227 12.0808 0.759292 0 42.793 0 0.900573 7.51043e-05 36.0355 0.0488842 0.0216252 9.17286 2.90795 
53 0 5 0.0488484 12.2092 0.756672 0 43.4201 0 0.876415 6.7824e-05 46.0871 0.0525285 0.0374045 9.23835 2.97083 
54 0 5 0.046039 12.0533 0.744307 0 47.8714 0 0.896607 6.19276e-05 42.7931 0.0530431 0.0256503 8.97139 3.08195 
55 0 5 0.0371997 15.937 0.801657 0 69.6113 0 0.539086 5.37439e-05 75.818 0.0415667 0.0195492 12.776 3.16101 
56 0 8 0.0312088 15.1247 0.638317 0 83.3285 0 0.384335 4.12806e-05 124.739 0.0331747 0.0277393 9.65437 5.47036 
57 0 10 0.0355847 19.448 0.568885 0.00771787 93.6194 0 0.474703 0.00500957 170.827 0.0374864 0.0330752 11.0637 8.38432 
58 0 10 0.0257673 35.4073 0.531444 0.020535 77.5979 0 0.429376 0.0012954 78.1616 0.0264353 0.0250096 18.817 16.5903 
59 2 10 0.0217985 12.1406 0.45181 2.23955e-07 62.6169 6.75063 0.385814 3.47177e-05 66.5909 0.0247294 0.0193829 5.48524 6.65535 
60 0 8 0.0218218 13.527 0.493519 0.00892164 55.2654 0 0.439143 0.0766588 47.0958 0.0220213 0.0216275 6.67581 6.85114 
61 0 8 0.0967969 14.3252 0.482451 0.0014685 55.3958 0 0.393832 0.00607716 86.8668 0.0310946 0.158044 6.91119 7.41396 
62 1 8 0.0356355 9.95907 0.546148 0 41.5642 4.67628 0.298617 4.24471e-05 18.0161 0.0391038 0.0314619 5.43913 4.51994 
63 0 7 0.0244682 9.30782 0.619413 0 35.068 0 0.292437 3.32964e-05 17.9612 0.0202183 0.0313849 5.76538 3.54243 
64 0 7 0.0295497 10.476 0.508748 0 35.2133 0 0.289629 2.77295e-05 19.8903 0.0254574 0.0337877 5.32965 5.14635 
65 0 7 0.0356206 10.5467 0.502383 0 52.6101 0 0.400702 2.28014e-05 60.8121 0.0357132 0.0355271 5.29851 5.24824 
66 0 9 0.0384043 11.1566 0.471512 0.00607682 58.7191 0 0.370251 0.000346025 73.0885 0.037915 0.0388408 5.26047 5.89614 
67 0 9 0.0240629 12.0834 0.552756 0.0330343 48.209 0 0.373619 0.0114602 24.2556 0.0183882 0.0310763 6.67915 5.4042 
68 0 9 0.0437081 13.3893 0.517926 0.0154023 53.9791 0 0.462229 0.00169887 26.2968 0.0227216 0.0662554 6.93467 6.45464 
69 0 10 0.0254386 9.02158 0.611651 0.00940318 47.9219 0 0.714259 7.96749e-05 104.469 0.0250676 0.0260229 5.51805 3.50352 
70 1 10 0.0178727 7.64834 0.565388 0 41.921 0.200127 0.530771 1.09597e-05 28.0067 0.0191409 0.0162228 4.32428 3.32406 
71 0 9 0.0356257 5.82707 0.678306 0.00805435 43.4926 0 0.726961 0.00578689 57.4719 0.0350157 0.0369119 3.95254 1.87454 
72 0 9 0.0455082 16.7941 0.890104 2.41695e-05 45.9797 0 0.765907 1.41312e-05 66.061 0.0476447 0.0282033 14.9485 1.8456 
73 0 9 0.0261275 18.2397 0.672446 0 82.6674 0 0.686475 7.7094e-06 89.8878 0.0245406 0.0293853 12.2652 5.97448 
74 0 9 0.0361141 30.8631 0.785772 0 97.2126 0 0.796029 7.37129e-06 136.603 0.0368479 0.0334227 24.2513 6.61174 
75 0 9 0.0429602 33.1188 0.805931 0 125.301 0 0.820024 7.16392e-06 223.996 0.0444199 0.0368984 26.6915 6.42733 
76 0 9 0.00746031 38.6541 0.773081 0.00224822 121.663 0 0.469561 0.00290912 154.519 0.00515103 0.0153277 29.8828 8.77135 
77 0 10 0.0464914 44.1389 0.672839 0.0616537 75.9679 0 0.574056 0.0086871 156.653 0.0524315 0.0342748 29.6984 14.4405 
78 0 10 0.221309 47.6986 0.387529 0 131.575 0 0.334635 4.77982e-06 283.23 0.0300116 0.342348 18.4846 29.214 
79 0 10 0.0370572 146.287 0.516965 0.0335409 119.109 0 0.47757 0.0302332 340.064 0.0381131 0.0359271 75.625 70.6616 
80 0 10 0.0789013 123.023 0.536159 0 171.23 0 0.444271 4.0969e-06 352.174 0.0308259 0.134472 65.9601 57.0634 
-1 15 560 0.0454235 3673.51 0.649754 0.00668849 7174.61 82.4257 0.566508 0.00832101 10972.7 0.0380434 0.0591145 2386.88 1286.63 
1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
2 0 10 -nan 0 -nan 0 76.0635 0 -nan inf 0 -nan -nan 0 0 
3 0 10 -nan 0 -nan 0 76.0635 0 -nan inf 0 -nan -nan 0 0 
4 0 10 0.00729 5.71909 1 0.00446451 76.0635 0 0.444444 0.100121 14.6366 0.00729 -nan 5.71909 0 
5 0 10 0.0126435 26.1809 0.830574 0.0201702 67.7592 0 0.565774 0.0793027 22.7786 0.00733585 0.0386629 21.7452 4.43574 
6 0 10 0.0766765 45.8169 0.703863 0.00512529 64.1688 0 0.569193 0.00960806 229.135 0.0463347 0.148793 32.2488 13.5681 
7 0 10 0.0634461 59.5023 0.522141 0.00527449 64.3939 0 0.494997 0.00808064 105.431 0.0484719 0.0798079 31.0686 28.4337 
8 1 10 0.0508465 28.8193 0.552735 0 58.5439 0 0.461538 0.0250658 15.3457 0.0545222 0.046304 15.9294 12.8899 
9 0 9 0.0442112 28.3633 0.633054 0.000801659 66.593 0 0.52947 0.00485639 245.919 0.0430566 0.0462031 17.9555 10.4078 
10 0 9 0.0329006 29.3654 0.528673 0.00362539 56.1934 0 0.658687 0.0198674 12.2675 0.0261779 0.0404413 15.5247 13.8407 
11 1 9 0.0453087 12.0868 0.230275 0 43.8257 0.0354468 0.518083 0.0039585 74.9689 0.0447218 0.0454842 2.78327 9.30349 
12 0 8 0.0347426 7.98798 0.532593 0 47.9006 0 0.468912 0.00444348 53.6094 0.0364536 0.0327931 4.25434 3.73364 
13 0 8 0.0352287 15.5881 0.640285 8.5409e-06 36.9101 0 0.554063 0.00606573 12.7131 0.03608 0.0337134 9.98083 5.60728 
14 0 8 0.0334933 6.77143 0.509121 0 49.0048 0 0.54962 0.00446612 68.1853 0.0352067 0.0317163 3.44748 3.32395 
15 0 9 0.040332 7.25073 0.501622 0 43.7891 0 0.514544 0.00522143 45.5738 0.0310816 0.0496427 3.63712 3.6136 
16 0 9 0.0392034 7.81309 0.619001 0.00667688 54.8151 0 0.488949 0.00483176 59.8977 0.044777 0.030148 4.83631 2.97678 
17 0 9 0.0399932 11.0477 0.632713 0 72.626 0 0.430242 0.005517 60.541 0.0396227 0.0406316 6.99004 4.05768 
18 0 10 0.030436 12.0413 0.626074 0 70.4129 0 0.260493 0.00274179 104.17 0.0349678 0.0228484 7.53873 4.50255 
19 0 10 0.0292679 22.9567 0.715738 0.00616843 83.0998 0 0.608308 0.00313272 137.278 0.0287196 0.0306485 16.431 6.52571 
20 0 10 0.0363912 35.5137 0.580745 0.000550214 86.7741 0 0.505504 0.00297963 116.902 0.0406859 0.0304422 20.6244 14.8893 
21 0 10 0.0414121 47.9434 0.654034 0 93.2244 0 0.605684 0.00199447 213.17 0.0467973 0.0312317 31.3566 16.5868 
22 0 10 0.0272507 48.1436 0.642342 8.1563e-05 104.283 0 0.47985 0.00187976 172.814 0.0285459 0.0249244 30.9247 17.2189 
23 0 10 0.0365229 64.6898 0.706931 0 156 0 0.572737 0.00146006 374.479 0.0385193 0.0317072 45.7312 18.9586 
24 0 10 0.0198738 94.8743 0.68275 1.21093e-05 124.152 0 0.471347 0.00147653 203.768 0.0192597 0.0211956 64.7755 30.0988 
25 0 10 0.0318672 104.223 0.521702 0 192.028 0 0.375998 0.00116006 411.791 0.0402974 0.022672 54.3735 49.8497 
26 0 10 0.0338465 138.986 0.579955 0 275.961 0 0.43035 0.00111578 504.665 0.0371392 0.0293003 80.6058 58.3804 
27 0 10 0.0357487 211.652 0.606904 0 363.744 0 0.382033 0.00100152 731.146 0.037216 0.0334834 128.452 83.1996 
28 0 10 0.0249422 271.695 0.57103 0.00820341 339.354 0 0.347917 0.0205268 761.112 0.0220985 0.0287276 155.146 116.549 
29 1 10 0.023492 230.1 0.454313 0.0157639 171.597 42.7972 0.463841 0.0271618 162.349 0.0256356 0.0217075 104.537 125.563 
30 0 9 0.123365 172.227 0.368799 0 295.535 0 0.293494 0.00111208 225.838 0.0261448 0.180168 63.5172 108.71 
31 0 9 0.0426836 184.848 0.421683 0.0263466 277.702 0 0.440464 0.0236236 242.666 0.0431556 0.0423395 77.9473 106.901 
32 0 9 0.0759816 171.06 0.538131 0 289.873 0 0.386152 0.00106265 172.634 0.0286563 0.131121 92.0528 79.0074 
33 1 9 0.0266641 147.948 0.64818 0.0158445 226.242 56.7396 0.609829 0.0103183 165.713 0.0275981 0.0249433 95.897 52.0511 
34 0 8 0.0387043 121.103 0.681387 0 236.961 0 0.450056 0.000699366 214.418 0.0309053 0.0553835 82.5182 38.5851 
35 0 8 0.0319112 142.195 0.549367 0.00518043 172.358 0 0.675176 0.00392466 235.11 0.0294206 0.0349475 78.1174 64.078 
