1 0 10 -nan 0 -nan 0 100 0 -nan inf 0 -nan -nan 0 0 2.9998
65 0 9 0.0238257 7.13464 0.580982 0 19.1695 0 0.609492 4.63333e-05 15.041 0.0220719 0.0262574 4.1451 2.98954 2.9998
66 0 9 0.0342539 7.06774 0.561964 0 20.7401 0 0.661105 4.23802e-05 21.7032 0.0338362 0.0347898 3.97182 3.09592 2.9998
67 0 9 0.0245022 10.1017 0.614219 0 29.8093 0 0.469053 3.42923e-05 11.8712 0.0240756 0.0251815 6.20466 3.89705 2.9998
68 0 10 0.0213278 5.84145 0.651058 0 26.0877 0 0.37136 2.1772e-05 24.0077 0.025093 0.0143027 3.80312 2.03833 2.9998
69 0 10 0.0219613 6.4255 0.521289 0 36.1814 0 0.456571 2.67063e-05 35.5497 0.0226305 0.0212326 3.34954 3.07595 2.9998
70 0 10 0.0155317 5.7625 0.547374 0 33.1409 0 0.495983 2.61678e-05 27.975 0.0145112 0.0167658 3.15424 2.60826 2.9998
71 0 10 0.0299906 6.03626 0.557269 0 26.2093 0 0.482076 2.50332e-05 19.8622 0.03014 0.0298025 3.36382 2.67244 2.9998
72 0 10 0.0294426 6.83553 0.538561 0 35.4145 0 0.489332 2.11662e-05 31.4307 0.0287336 0.0302702 3.68135 3.15418 2.9998
73 0 10 0.0239466 7.689 0.621419 0 41.107 0 0.491543 1.87862e-05 37.3634 0.025224 0.0218498 4.77809 2.91091 2.9998
74 0 10 0.0152517 8.39295 0.621152 0 45.4158 0 0.503586 1.67092e-05 42.2718 0.0164203 0.0133356 5.2133 3.17965 2.9998
75 0 10 0.0307426 11.8984 0.573497 0 41.0786 0 0.512421 1.58021e-05 32.874 0.0378641 0.0211668 6.82368 5.07469 2.9998
76 0 10 0.0356428 11.1725 0.588921 0 35.8468 0 0.528402 1.3894e-05 36.6128 0.0343047 0.0375596 6.57972 4.59279 2.9998
77 0 10 0.0280969 14.6432 0.605615 0 31.2049 0 0.570104 1.18395e-05 28.4234 0.0251711 0.0325899 8.86816 5.77508 2.9998
78 0 10 0.0218851 12.5074 0.67065 0.000899788 24.8675 0 0.621933 0.00253732 16.0845 0.0222893 0.0210621 8.3881 4.11932 2.99965
79 0 10 0.0243096 9.39985 0.480718 0 23.9447 0 0.531096 1.13582e-05 27.8326 0.0254512 0.0232527 4.51868 4.88118 2.9998
80 1 10 0.015825 9.28251 0.631833 0 19.2443 1.05383 0.612822 9.24031e-06 9.90119 0.0164126 0.0148167 5.865 3.41751 2.9998
-1 2 793 0.0216754 1835.56 0.607064 0.000146317 5298.05 1.29946 0.512493 0.00498569 4020.92 0.0221125 0.0210002 1114.3 721.257 2.99968
1 0 10 -nan 0 -nan 0 100 0 -nan inf 0 -nan -nan 0 0 2.9998
2 0 10 -nan 0 -nan 0 79.3881 0 -nan inf 0 -nan -nan 0 0 2.9998
3 0 10 -nan 0 -nan 0 79.3881 0 0.555556 6.21809 0.157639 -nan -nan 0 0 2.9998
